"ID","Region","Institution","Region ID","is Polling Station","Active Register","is Group","Parent Electoral District"
"MOMBASA","MOMBASA COUNTY","United Progressive Alliance",1,"0","V-REG-00001","1","KENYA"
"KWALE","KWALE COUNTY","United Progressive Alliance",2,"0","V-REG-00001","1","KENYA"
"KILIFI","KILIFI COUNTY","United Progressive Alliance",3,"0","V-REG-00001","1","KENYA"
"TANA RIVER","TANA RIVER COUNTY","United Progressive Alliance",4,"0","V-REG-00001","1","KENYA"
"LAMU","LAMU COUNTY","United Progressive Alliance",5,"0","V-REG-00001","1","KENYA"
"TAITA TAVETA","TAITA TAVETA COUNTY","United Progressive Alliance",6,"0","V-REG-00001","1","KENYA"
"GARISSA","GARISSA COUNTY","United Progressive Alliance",7,"0","V-REG-00001","1","KENYA"
"WAJIR","WAJIR COUNTY","United Progressive Alliance",8,"0","V-REG-00001","1","KENYA"
"MANDERA","MANDERA COUNTY","United Progressive Alliance",9,"0","V-REG-00001","1","KENYA"
"MARSABIT","MARSABIT COUNTY","United Progressive Alliance",10,"0","V-REG-00001","1","KENYA"
"ISIOLO","ISIOLO COUNTY","United Progressive Alliance",11,"0","V-REG-00001","1","KENYA"
"MERU","MERU COUNTY","United Progressive Alliance",12,"0","V-REG-00001","1","KENYA"
"THARAKA NITHI","THARAKA NITHI COUNTY","United Progressive Alliance",13,"0","V-REG-00001","1","KENYA"
"EMBU","EMBU COUNTY","United Progressive Alliance",14,"0","V-REG-00001","1","KENYA"
"KITUI","KITUI COUNTY","United Progressive Alliance",15,"0","V-REG-00001","1","KENYA"
"MACHAKOS","MACHAKOS COUNTY","United Progressive Alliance",16,"0","V-REG-00001","1","KENYA"
"MAKUENI","MAKUENI COUNTY","United Progressive Alliance",17,"0","V-REG-00001","1","KENYA"
"NYANDARUA","NYANDARUA COUNTY","United Progressive Alliance",18,"0","V-REG-00001","1","KENYA"
"NYERI","NYERI COUNTY","United Progressive Alliance",19,"0","V-REG-00001","1","KENYA"
"KIRINYAGA","KIRINYAGA COUNTY","United Progressive Alliance",20,"0","V-REG-00001","1","KENYA"
"MURANG'A","MURANG'A COUNTY","United Progressive Alliance",21,"0","V-REG-00001","1","KENYA"
"KIAMBU","KIAMBU COUNTY","United Progressive Alliance",22,"0","V-REG-00001","1","KENYA"
"TURKANA","TURKANA COUNTY","United Progressive Alliance",23,"0","V-REG-00001","1","KENYA"
"WEST POKOT","WEST POKOT COUNTY","United Progressive Alliance",24,"0","V-REG-00001","1","KENYA"
"SAMBURU","SAMBURU COUNTY","United Progressive Alliance",25,"0","V-REG-00001","1","KENYA"
"TRANS NZOIA","TRANS NZOIA COUNTY","United Progressive Alliance",26,"0","V-REG-00001","1","KENYA"
"UASIN GISHU","UASIN GISHU COUNTY","United Progressive Alliance",27,"0","V-REG-00001","1","KENYA"
"ELGEYO MARAKWET","ELGEYO MARAKWET COUNTY","United Progressive Alliance",28,"0","V-REG-00001","1","KENYA"
"NANDI","NANDI COUNTY","United Progressive Alliance",29,"0","V-REG-00001","1","KENYA"
"BARINGO","BARINGO COUNTY","United Progressive Alliance",30,"0","V-REG-00001","1","KENYA"
"LAIKIPIA","LAIKIPIA COUNTY","United Progressive Alliance",31,"0","V-REG-00001","1","KENYA"
"NAKURU","NAKURU COUNTY","United Progressive Alliance",32,"0","V-REG-00001","1","KENYA"
"NAROK","NAROK COUNTY","United Progressive Alliance",33,"0","V-REG-00001","1","KENYA"
"KAJIADO","KAJIADO COUNTY","United Progressive Alliance",34,"0","V-REG-00001","1","KENYA"
"KERICHO","KERICHO COUNTY","United Progressive Alliance",35,"0","V-REG-00001","1","KENYA"
"BOMET","BOMET COUNTY","United Progressive Alliance",36,"0","V-REG-00001","1","KENYA"
"KAKAMEGA","KAKAMEGA COUNTY","United Progressive Alliance",37,"0","V-REG-00001","1","KENYA"
"VIHIGA","VIHIGA COUNTY","United Progressive Alliance",38,"0","V-REG-00001","1","KENYA"
"BUNGOMA","BUNGOMA COUNTY","United Progressive Alliance",39,"0","V-REG-00001","1","KENYA"
"BUSIA","BUSIA COUNTY","United Progressive Alliance",40,"0","V-REG-00001","1","KENYA"
"SIAYA","SIAYA COUNTY","United Progressive Alliance",41,"0","V-REG-00001","1","KENYA"
"KISUMU","KISUMU COUNTY","United Progressive Alliance",42,"0","V-REG-00001","1","KENYA"
"HOMA BAY","HOMA BAY COUNTY","United Progressive Alliance",43,"0","V-REG-00001","1","KENYA"
"MIGORI","MIGORI COUNTY","United Progressive Alliance",44,"0","V-REG-00001","1","KENYA"
"KISII","KISII COUNTY","United Progressive Alliance",45,"0","V-REG-00001","1","KENYA"
"NYAMIRA","NYAMIRA COUNTY","United Progressive Alliance",46,"0","V-REG-00001","1","KENYA"
"NAIROBI","NAIROBI COUNTY","United Progressive Alliance",47,"0","V-REG-00001","1","KENYA"
"DIASPORA","DIASPORA COUNTY","United Progressive Alliance",48,"0","V-REG-00001","1","KENYA"
"PRISONS","PRISONS COUNTY","United Progressive Alliance",49,"0","V-REG-00001","1","KENYA"
